EnglishName	EnglishAlternatives	Greek	GrkTranslit	GrkTidy	Hebrew	HebTranslit	HebTidy	Comment
Ethiopian		Αἰθίοψ	Aithiops	Aithiops	כּוּשִׁי	Kūshiy	Kushiy	Acts 8:27
Israelites		ones_from_Ἰσραήλ	ones_from_Israaʸl	ones_from_Israel	יִשְׂרָאֵל	yisrāʼēl	yisraʼel	Acts 2:22
Jerusalemites		ones_from_Ἱερουσαλήμ	ones_from_Hierousalaʸm	ones_from_Hierousalem	יְרוּשָׁלַם	yərūshālam	yerushalam	Mrk 1:5
Levite		Λευΐτης	Leuitaʸs	Leuites	from_tribe_of_לֵוִי	from_tribe_of_Lēvī	from_tribe_of_Levi	Luk 10:32 doesn't work well for plural yet XXXX........
Ninevites		Νινευίτης	Nineuitaʸs	Nineuites	ones_from_נִינְוֵה	ones_from_Nīnəvēh	ones_from_Nineveh	Luk 11:30
Ninevite		Νινευίτης	Nineuitaʸs	Nineuites	from_נִינְוֵה	from_Nīnəvēh	from_Nineveh	
Samaritan		from_Σαμάρεια	from_Samareia	from_Samareia	שֹׁמְרוֹן	shomrōn	shomron	
Samaritans		Σαμαρείτης	Samareitaʸs	Samareites	שֹׁמְרוֹן	Shomrōn	Shomron	
Tyrians		Τύρος	Turos	Turos	צֹר	Tsor	Tsor	Acts 12:20

# Places
Azotus		Ἄζωτος	Azōtos	Azotos	אַשְׁדּוֹד	ʼAshdōd	Ashdod	Acts 8:40 Ashdod
Babylon		Βαβυλών	Babulōn	Babulon	בָּבֶל?	Bāⱱel?	Bavel?	
Bethlehem		Βηθλεέμ	Baʸthleʼem	Bethleʼem	בֵּית-לֶחֶם	Bēyt-leḩem	Beyt-lehem	
Bosor		Βοσόρ	Bosor	Bosor	בְּעוֹר	Bəˊōr	Beˊor	2 Pet 2:15
#Canaan		Χαναάν		כִּנַעַן		Acts 7:11 but entered as a person above
Damascus		Δαμασκός	Damaskos	Damaskos	דַּמֶּשֶׂק	Dammeseq	Dammesek	
Egypt		Αἴγυπτος	Aiguptos	Aiguptos	מִצְרַיִם	Miʦrayim	Mitsrayim	
Galilee		Γαλιλαία	Galilaia	Galilaia	גָּלִיל	Gālīl	Galil	
Gaza		Γάζα	Gaza	Gaza	עַזָּה	ˊAzzāh	Azzah	Acts 8:26
Gehenna		γέεννα	geenna	geenna	Matt 23:33 Removed Hebrew 	Matt 23:33 Removed Hebrew 	Matt 23:33 Removed Hebrew 	הִנֹּם גֵּי) as no real benefit to readers
Golgotha		Γολγοθᾶ	Golgotha	Golgotha	גֻּלְגֹּלֶת	Gulgolet	Gulgolet	
Gomorrah		Γόμορρα	Gomorra	Gomorra	עֲמֹרָה	ˊAmorāh	Amorah	
Haran		Χαρράν	Ⱪarran	Ⱪarran	חָרָן	Ḩārān	Haran	Acts 7:2
Jericho		Ἰεριχώ	Yeriⱪō	Yeriⱪo	יְרִיחוֹ	Yərīḩō	Yeriho	Heb 11:30
Jerusalem		Ἱερουσαλήμ	Hierousalaʸm	Hierousalem	יְרוּשָׁלַיִם	Yərūshālayim	Yerushalayim	
Jordan		Ἰορδάνης	Yordanaʸs	Yordanes	יַרְדֵּן	Yardēn	Yarden	
Kedron		Κεδρών	Kedrōn	Kedron	קִדְרוֹן	Qidrōn	Kidron	John 18:1
Lydda		Λύδδα	Ludda	Ludda	לֹד	Lod	Lod	Acts 9:32
