TraditionalName	LVName
Ephrayin	ˊEfrōn
Ephron	ˊEfrōn
Epicureans	Epikoureios
Er	Aʸr
Er	ˊĒr
Erastus	Erastos
Esar	ʼĒşar
Esarhaddon	ʼĒşar-ḩaddōn
Esau	Aʸsau
Esau	ˊĒsāv
Eshbaal	ʼAshbaˊal
Eshban	ʼEshshəbān
Eshcol	ʼEshkol
Eshek	ˊĒsheq
Eshtaol	ʼEshtāʼol
Eshtemoa	ʼEshtəmoˊa
Eshtemoh	ʼEshtəmoˊa
Eshton	ʼEshtōn
Esli	Esli
Esli	ʼElyəhōˊēynay
Esrom	Hesrōm
Esrom	Ḩeʦrōn
Esther	ʼEştēr
Etam	ˊĒyţām
Ethan	ʼĒytān
Ethanim	ʼĒtānīm
Ethbaal	ʼEtbaˊal
Ether	ˊĒter
Ethiopia	Kūsh
Ethiopian	Aithiops
Ethiopian	Kūshiy
Ethiopians	Aithiops
Ethiopians	Kūshiy
Ethnan	ʼEtnan
Eubulus	Euboulos
Eunice	Eunikaʸ
Euodia	Euodia
Euphrates	Eufrataʸs
Euphrates	Pərāt
Euraquilo	Eurokludōn
Eutychus	Eutuⱪos
Eve	Heua
Eve	Ḩavvāh
Ezbai	ʼEzbay
Ezbon	ʼEʦbō
Ezekiel	Yəḩezqēʼl
Ezel	Hāʼēʦel
Ezem	ˊEʦem
Ezer	ʼEʦer
Ezer	ˊEzer
Ezer	ˊĒzer
Ezion	ˊEʦyon
Ezion-	ˊEʦyon
Ezion-gaber	ˊEʦyon-geⱱer
Eziongaber	ˊEʦyon-geⱱer
Eziongeber	ˊEʦyon-geⱱer
Ezra	ˊEzrāʼ
Ezrahite	ʼEzrāḩī
Ezri	ˊEzrī
Felix	Faʸlix
Festus	Faʸstos
Fortunatus	Fortounatos
Gaal	Gaˊal
Gaash	Gaˊash
Gabbai	Gabay
Gabbatha	Gabbatha
Gabriel	Gabriaʸl
Gabriel	Gaⱱrīʼēl
Gad	Gad
Gad	Gād
Gadarenes	Gadaraʸnos
Gaddi	Gaddiy
Gaddiel	Gaddiyʼēl
Gader	Gādēr
Gadi	Gādī
Gadite	Gādī
Gadites	Gādī
Gahar	Gaḩar
Gaius	Gaios
Galal	Gālāl
Galatia	Galatia
Galatian	Galatikos
Galed	Galˊēd
Galilean	Galilaios
Galileans	Galilaios
Galilee	Galilaia
Galilee	Gālīl
Gallia	NOT_Galilaia_NOT
Gallim	Gallim
Gallio	Galliōn
Gamaliel	Gamaliaʸl
Gamaliel	Gamlīʼēl
Gammadim	Gammād
Gammadites	Gammād
Gamul	Gəmūl
Gareb	Gārēⱱ
Garmite	Garmī
Gatam	Gaˊtām
Gath	Gat
Gaza	Gaza
Gaza	ˊAzzāh
Gazez	Gāzēz
Gazzam	Gazzām
Geba	Geⱱaˊ
Gebal	Gəⱱāl
Gebalite	Giⱱlī
Gebalites	Giⱱlī
Geber	Geⱱer
Gebim	Gēⱱīm
Gedaliah	Gədalyāh
Geder	Geder
Gederah	Gədērāh
Gederathite	Gədērātī
Gederite	Gədēry
Gederoth	Gədērōt
Gedi	 Gedī
Gedor	Gədor
